slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bnb,BNB,BNB,12/31/2023,4,227.6888120382,337.4258015823,226.496017277,312.435695236,32486490576.26,47394056692.15,0.7747214014450581,110.92978430529999
bnb,BNB,BNB,11/30/2023,4,226.4181677963,269.9175652196,222.860403825,227.683802316,23107989898.04,34539350409.57,0.10250083830074602,47.05716139460003
bnb,BNB,BNB,10/31/2023,4,214.8003167113,236.75007424,203.6554358861,226.4399377595,11008246168.96,34351764180.37,0.6884650507357781,33.094638353899995
bnb,BNB,BNB,09/30/2023,4,216.5984771091,221.0098501587,204.3567342525,214.8213045991,11433150479.5,33049535219.79,0.6283851265758621,16.653115906200014
bnb,BNB,BNB,08/31/2023,4,241.1280474149,248.5115564717,204.3991384887,216.5977861687,14006470632.97,33323655435.27,0.27653545731048107,44.112417983
bnb,BNB,BNB,07/31/2023,4,240.3869056243,261.1026000435,231.6457438946,241.120655869,15855392212.41,37097683428.26,0.32165387665627754,29.456856148899988
bnb,BNB,BNB,06/30/2023,4,306.8828148235,308.3961409048,222.0713416072,240.369779695,16727991932.65,37461938068.72,0.2119719737165811,86.32479929760001
bnb,BNB,BNB,05/31/2023,4,337.6052360161,339.3916697564,301.5824098111,306.8667045792,14496929395.0,47827181093.41,0.1397619201154694,37.80925994530003
bnb,BNB,BNB,04/30/2023,4,317.059791261,350.0722982746,300.5087643474,337.6455370289,21721933050.91,52626345936.38,0.7492761257913388,49.563533927199956
bnb,BNB,BNB,03/31/2023,4,301.510338392,346.4451172025,265.712443616,317.0399960631,18474039539.73,50056964245.78,0.6357717410672116,80.73267358650003
bnb,BNB,BNB,02/28/2023,4,312.2771322147,337.3205290011,283.6963834532,301.4748145283,16694454180.03,47601444433.23,0.3315377968907558,53.624145547900014
bnb,BNB,BNB,01/31/2023,4,246.3329064814,322.746225478,241.6924913861,312.361042095,17539133617.2,49322298701.1,0.8718728569466635,81.0537340919
bnb,BNB,BNB,12/31/2022,4,300.7543693272,301.4796862717,221.0031953179,246.3491895742,22415287547.87,39407173515.71,0.314949048546993,80.47649095380001
bnb,BNB,BNB,11/30/2022,4,326.2778726408,388.7155250829,250.6569389838,300.7943525852,42722804272.03,48118283430.36,0.3631604162989964,138.0585860991
bnb,BNB,BNB,10/31/2022,4,284.2734081441,336.7953167816,257.9745108446,326.3607282901,24373827089.9,52210645189.25,0.8676163182112072,78.82080593699999
bnb,BNB,BNB,09/30/2022,4,279.2513297895,299.176304292,257.1868283463,284.1923010784,25812104852.37,45850807478.85,0.6431486014977419,41.98947594570001
bnb,BNB,BNB,08/31/2022,4,283.6294951458,336.2836925669,272.805967616,279.238093076,38209345751.85,45051509128.88,0.10132885929631617,63.47772495090004
bnb,BNB,BNB,07/31/2022,4,219.5289969503,301.2096954643,213.6656295493,283.5794728597,39049264273.2,45751935452.54,0.7986131621791716,87.544065915
bnb,BNB,BNB,06/30/2022,4,320.4720304916,323.8850595571,184.5400570331,219.3000982095,38608308081.41,35806656571.72,0.2494530879958405,139.34500252400002
bnb,BNB,BNB,05/31/2022,4,377.7656539101,412.4003743177,216.3615019615,320.4851088537,63775385601.65,52327838987.6,0.5311375526737819,196.03887235620002
bnb,BNB,BNB,04/30/2022,4,429.1240316226,459.805583028,377.7678267306,377.7678267306,55167230560.79,61680787861.13,0.0,82.0377562974
bnb,BNB,BNB,03/31/2022,4,395.6241248129,451.9610860247,360.301854991,428.916097119,54068965963.31,70821236649.88,0.748579726822854,91.6592310337
bnb,BNB,BNB,02/28/2022,4,375.0991676374,444.2885960113,324.4836853227,395.6124151468,47693175770.83,65322240556.92,0.5937046270914522,119.80491068859999
bnb,BNB,BNB,01/31/2022,4,511.9103559006,533.3710045832,337.8539417632,375.2773265162,84104399663.47,61964576589.82,0.19140725731673502,195.51706282000004
bnb,BNB,BNB,12/31/2021,4,621.8128471058,650.2531833893,495.1322719729,511.7083260243,63870991050.21,85353536222.02,0.10685892636940432,155.12091141640002
bnb,BNB,BNB,11/30/2021,4,524.7382458046,669.3458077752,512.1762465461,622.6698614477,80405088662.21,103862047714.48,0.7030217176755856,157.16956122910005
bnb,BNB,BNB,10/31/2021,4,387.6359992371,539.9388314079,382.1313861951,524.3644479201,64570070639.66,87464591883.46,0.9013076761568616,157.80744521280002
bnb,BNB,BNB,09/30/2021,4,464.27293096,510.05764989,320.3687514607,387.0573500511,59925799120.19,65078675599.6,0.35156827385581485,189.68889842929997
bnb,BNB,BNB,08/31/2021,4,332.29268206,518.7563285,318.06282291,464.41873094,69388582703.96,78085988882.73,0.7292508424711701,200.69350558999997
